City,State,Provider_number,Distinct_Referral_Pairs,Referral_Volume,Total_Num_Referral_Triples_sum
CAPAC,MICHIGAN,3,4,1067,4
CAPE CARTERET,NORTH CAROLINA,3,3,194,3
CAPE CHARLES,VIRGINIA,3,6,790,6
CAPE CORAL,FLORIDA,192,3189,461437,3189
CAPE ELIZABETH,MAINE,5,17,10153,17
CAPE GIRARDEAU,MISSOURI,378,21406,3525934,21406
CAPE MAY,NEW JERSEY,4,8,1305,8
CAPE MAY COURT HOUSE,NEW JERSEY,98,4071,889514,4071
CAPITOL HEIGHTS,MARYLAND,1,1,28,1
CAPITOLA,CALIFORNIA,15,44,4150,44
CARBONDALE,COLORADO,5,17,1829,17
CARBONDALE,ILLINOIS,126,2425,411660,2425
CARBONDALE,KANSAS,2,2,425,2
CARBONDALE,PENNSYLVANIA,30,317,166286,317
CAREFREE,ARIZONA,5,8,1399,8
CARENCRO,LOUISIANA,3,3,585,3
CARIBOU,MAINE,47,701,283494,701
CARLE PLACE,NEW YORK,10,28,9739,28
CARLETON,MICHIGAN,3,4,183,4
CARLINVILLE,ILLINOIS,13,104,64092,104
CARLISLE,ARKANSAS,1,1,201,1
CARLISLE,IOWA,3,3,374,3
CARLISLE,KENTUCKY,3,7,7852,7
CARLISLE,PENNSYLVANIA,134,1904,367153,1904
CARLSBAD,CALIFORNIA,47,159,17044,159
CARLSBAD,NEW MEXICO,52,1079,284767,1079
CARLSTADT,NEW JERSEY,1,1,25,1
CARLYLE,ILLINOIS,8,26,11977,26
CARMEL,CALIFORNIA,20,145,16128,145
CARMEL,INDIANA,227,1153,214082,1153
CARMEL,NEW YORK,86,1554,243713,1554
CARMI,ILLINOIS,9,43,27540,43
CARMICHAEL,CALIFORNIA,191,6186,1090656,6186
CARMICHAELS,PENNSYLVANIA,1,1,3258,1
CARNEGIE,OKLAHOMA,3,9,4678,9
CARNEGIE,PENNSYLVANIA,10,24,10049,24
CARNEYS POINT,NEW JERSEY,3,10,2710,10
CARO,MICHIGAN,32,225,125627,225
CAROL STREAM,ILLINOIS,18,55,10055,55
CAROLINA,PUERTO RICO,77,186,12351,186
CAROLINA BEACH,NORTH CAROLINA,4,7,3380,7
CARPINTERIA,CALIFORNIA,8,15,4247,15
CARRABELLE,FLORIDA,1,1,113,1
CARRBORO,NORTH CAROLINA,5,7,3340,7
CARRIERE,MISSISSIPPI,2,2,445,2
CARRINGTON,NORTH DAKOTA,7,59,84355,59
CARRIZO SPRINGS,TEXAS,7,51,20712,51
CARROLL,IOWA,43,632,154299,632
CARROLLTON,ALABAMA,3,19,19584,19
CARROLLTON,GEORGIA,175,9201,1425933,9201
CARROLLTON,ILLINOIS,5,30,19946,30
CARROLLTON,KENTUCKY,8,54,19714,54
CARROLLTON,MISSOURI,8,53,31675,53
CARROLLTON,OHIO,8,25,4371,25
CARROLLTON,TEXAS,80,685,139714,685
CARROLLTON,VIRGINIA,5,9,1714,9
CARROLLTOWN,PENNSYLVANIA,6,11,3815,11
CARSON,CALIFORNIA,18,34,11001,34
CARSON CITY,MICHIGAN,21,157,67906,157
CARSON CITY,NEVADA,222,8197,1304573,8197
CARTERET,NEW JERSEY,14,35,10521,35
CARTERSVILLE,GEORGIA,102,3206,646293,3206
CARTERVILLE,ILLINOIS,6,21,20097,21
CARTHAGE,ILLINOIS,11,40,21357,40
CARTHAGE,MISSISSIPPI,10,95,53811,95
CARTHAGE,MISSOURI,14,94,11595,94
CARTHAGE,NEW YORK,34,244,101323,244
CARTHAGE,NORTH CAROLINA,6,11,8494,11
CARTHAGE,TENNESSEE,12,76,48714,76
CARTHAGE,TEXAS,15,126,59309,126
CARUTHERSVILLE,MISSOURI,6,30,14349,30
CARVER,MASSACHUSETTS,4,6,5564,6
CARY,ILLINOIS,2,3,125,3
CARY,NORTH CAROLINA,232,2437,369719,2437
CASA GRANDE,ARIZONA,86,1239,278858,1239
CASCADE,IDAHO,3,6,6211,6
CASCADE,IOWA,2,4,803,4
CASEVILLE,MICHIGAN,3,9,5769,9
CASEY,ILLINOIS,2,6,860,6
CASHIERS,NORTH CAROLINA,3,6,517,6
CASHMERE,WASHINGTON,2,2,985,2
CASHTON,WISCONSIN,3,4,449,4
CASPER,WYOMING,213,7790,1428526,7790
CASS CITY,MICHIGAN,8,42,33397,42
CASS LAKE,MINNESOTA,9,13,4265,13
CASSELBERRY,FLORIDA,19,99,90798,99
CASSELTON,NORTH DAKOTA,2,3,219,3
CASSOPOLIS,MICHIGAN,3,6,20630,6
CASSVILLE,MISSOURI,16,95,49165,95
CASTALIA,OHIO,2,2,192,2
CASTANER,PUERTO RICO,5,12,4036,12
CASTILE,NEW YORK,2,2,1108,2
CASTINE,MAINE,2,2,1101,2
CASTLE DALE,UTAH,4,4,824,4
CASTLE ROCK,COLORADO,22,39,4865,39
CASTLETON,NEW YORK,14,35,5554,35
CASTLETON,VERMONT,2,2,475,2
CASTRO VALLEY,CALIFORNIA,109,1017,134516,1017
CASTROVILLE,CALIFORNIA,2,2,325,2
CASTROVILLE,TEXAS,10,44,11860,44
CATASAUQUA,PENNSYLVANIA,3,6,685,6
CATHEDRAL CITY,CALIFORNIA,6,6,1629,6
CATHLAMET,WASHINGTON,1,1,59,1
CATO,NEW YORK,2,3,301,3
CATONSVILLE,MARYLAND,83,545,95056,545
CATSKILL,NEW YORK,16,104,14092,104
CAVALIER,NORTH DAKOTA,6,44,46080,44
CAVE CITY,ARKANSAS,2,2,210,2
CAVE CITY,KENTUCKY,2,2,295,2
CAVE CREEK,ARIZONA,6,7,660,7
CAVE JUNCTION,OREGON,1,1,30,1
CAYCE,SOUTH CAROLINA,3,3,439,3
CAYEY,PUERTO RICO,62,450,59676,450
CAYUGA,INDIANA,1,1,313,1
CAZENOVIA,NEW YORK,1,1,24,1
CAZENOVIZ,NEW YORK,3,6,1241,6
CECIL,PENNSYLVANIA,2,2,119,2
CECILTON,MARYLAND,2,5,271,5
CEDAR BLUFF,VIRGINIA,3,6,316,6
CEDAR CITY,UTAH,52,670,143532,670
CEDAR CREST,NEW MEXICO,3,4,457,4
CEDAR FALLS,IOWA,50,352,126626,352
CEDAR GROVE,NEW JERSEY,14,49,8145,49
CEDAR GROVE,WEST VIRGINIA,1,1,2768,1
CEDAR GROVE,WISCONSIN,2,2,707,2
CEDAR HILL,MISSOURI,5,22,2091,22
CEDAR HILL,TEXAS,19,44,10721,44
CEDAR KNOLLS,NEW JERSEY,24,116,56069,116
CEDAR LAKE,INDIANA,5,7,3225,7
CEDAR PARK,TEXAS,62,458,103227,458
CEDAR RAPIDS,IOWA,426,20215,3068528,20215
CEDAR SPRINGS,MICHIGAN,8,13,3343,13
CEDAR VALE,KANSAS,2,3,3599,3
CEDARBURG,WISCONSIN,8,13,2692,13
CEDAREDGE,COLORADO,5,8,1217,8
CEDARHURST,NEW YORK,24,102,19535,102
CEDARTOWN,GEORGIA,20,107,27642,107
CEDARVILLE,MICHIGAN,2,3,783,3
CEIBA,PUERTO RICO,1,1,51,1
CELEBRATION,FLORIDA,37,184,26900,184
CELINA,OHIO,15,80,14646,80
CELINA,TENNESSEE,7,44,31132,44
CENTENNIAL,COLORADO,32,60,9465,60
CENTER,MISSOURI,1,1,622,1
CENTER,TEXAS,10,66,26431,66
CENTER LINE,MICHIGAN,5,13,2080,13
CENTER MORICHES,NEW YORK,4,11,4827,11
CENTER POINT,IOWA,3,7,973,7
CENTER VALLEY,PENNSYLVANIA,10,22,1393,22
CENTEREACH,NEW YORK,4,7,1283,7
CENTERTON,ARKANSAS,4,4,439,4
CENTERVILLE,IOWA,17,208,95545,208
CENTERVILLE,MASSACHUSETTS,4,8,673,8
CENTERVILLE,OHIO,77,380,97262,380
CENTERVILLE,SOUTH DAKOTA,1,2,2018,2
CENTERVILLE,TENNESSEE,10,87,45336,87
CENTERVILLE,TEXAS,1,1,58,1
CENTERVILLE,UTAH,4,4,6761,4
CENTRAL CITY,KENTUCKY,7,24,4011,24
CENTRAL CITY,NEBRASKA,5,35,50394,35
CENTRAL FALLS,RHODE ISLAND,5,5,317,5
CENTRAL POINT,OREGON,7,19,3049,19
CENTRAL SQUARE,NEW YORK,4,12,8327,12
CENTRALIA,ILLINOIS,48,663,334868,663
CENTRALIA,KANSAS,1,2,2232,2
CENTRALIA,MISSOURI,4,4,562,4
CENTRALIA,WASHINGTON,63,819,189850,819
CENTRE,ALABAMA,13,195,96220,195
CENTRE HALL,PENNSYLVANIA,5,10,1120,10
CENTREVILLE,ALABAMA,10,63,25180,63
CENTREVILLE,ILLINOIS,1,1,62,1
CENTREVILLE,MARYLAND,5,14,720,14
CENTREVILLE,MICHIGAN,1,2,203,2
CENTREVILLE,MISSISSIPPI,2,11,24808,11
CENTREVILLE,VIRGINIA,17,48,3847,48
CENTURY,FLORIDA,1,1,463,1
CERES,CALIFORNIA,7,14,4455,14
CERRILLOS,NEW MEXICO,1,1,1234,1
CERRITOS,CALIFORNIA,16,50,17354,50
CERRO GORDO,NORTH CAROLINA,2,2,114,2
CHADBOURN,NORTH CAROLINA,2,2,5560,2
CHADDS FORD,PENNSYLVANIA,1,1,33,1
CHADRON,NEBRASKA,14,116,41215,116
CHAGRIN FALLS,OHIO,5,14,2538,14
CHALFONT,PENNSYLVANIA,16,58,5204,58
CHALLIS,IDAHO,2,5,2834,5
CHALMETTE,LOUISIANA,10,18,7049,18
CHAMA,NEW MEXICO,1,1,168,1
CHAMBERLAIN,SOUTH DAKOTA,12,64,15355,64
CHAMBERSBURG,PENNSYLVANIA,244,9828,1687329,9828
CHAMBLEE,GEORGIA,2,2,43,2
CHAMPAIGN,ILLINOIS,167,3168,399355,3168
CHAMPLAIN,NEW YORK,6,20,17985,20
CHAMPLIN,MINNESOTA,10,38,9187,38
CHANDLER,ARIZONA,339,4570,707432,4570
CHANDLER,OKLAHOMA,6,24,11794,24
CHANDLER,TEXAS,1,1,26,1
CHANHASSEN,MINNESOTA,6,10,1291,10
CHANNAHON,ILLINOIS,1,1,34,1
CHANNELVIEW,TEXAS,6,18,5733,18
CHANTILLY,VIRGINIA,6,6,287,6
CHANUTE,KANSAS,29,569,324701,569
CHAPARRAL,NEW MEXICO,4,6,2088,6
CHAPEL HILL,NORTH CAROLINA,812,18223,3044639,18223
CHAPEL HILL,NORTH DAKOTA,1,68,14063,68
CHAPIN,SOUTH CAROLINA,9,19,2469,19
CHARDON,OHIO,75,1013,165153,1013
CHARITON,IOWA,10,82,42339,82
CHARLEROI,PENNSYLVANIA,10,19,3745,19
CHARLES CITY,IOWA,16,192,116777,192
CHARLES CITY,VIRGINIA,1,1,334,1
CHARLES TOWN,WEST VIRGINIA,4,5,360,5
CHARLESTON,ARKANSAS,3,4,1196,4
CHARLESTON,ILLINOIS,19,199,35861,199
CHARLESTON,MISSISSIPPI,3,7,1362,7
CHARLESTON,MISSOURI,5,27,24704,27
CHARLESTON,SOUTH CAROLINA,1233,48726,6793202,48726
CHARLESTON,WEST VIRGINIA,596,22893,3377345,22893
CHARLESTOWN,INDIANA,11,44,24768,44
CHARLESTOWN,MASSACHUSETTS,11,55,13075,55
CHARLESTOWN,NEW HAMPSHIRE,3,6,1907,6
CHARLESTOWN,RHODE ISLAND,7,10,1529,10
CHARLEVOIX,MICHIGAN,28,252,48522,252
CHARLOTTE,MICHIGAN,27,127,40574,127
CHARLOTTE,NORTH CAROLINA,2386,99145,12181028,99145
CHARLOTTE,VERMONT,4,7,1225,7
CHARLOTTE HALL,MARYLAND,4,6,943,6
CHARLOTTESVILLE,VIRGINIA,953,29055,5361749,29055
CHARLTON,MASSACHUSETTS,10,31,11314,31
CHARLTON,NEW YORK,4,8,790,8
CHASE CITY,VIRGINIA,3,13,8513,13
CHASKA,MINNESOTA,10,20,1463,20
CHATHAM,ILLINOIS,10,33,5328,33
CHATHAM,MASSACHUSETTS,5,15,751,15
CHATHAM,NEW JERSEY,16,49,7128,49
CHATHAM,NEW YORK,2,3,1164,3
CHATHAM,VIRGINIA,1,2,905,2
CHATOM,ALABAMA,2,8,13974,8
CHATSWORTH,GEORGIA,15,98,51493,98
CHATTAHOOCHEE,FLORIDA,6,6,782,6
CHATTANOOGA,TENNESSEE,1057,53843,6326608,53843
CHAVIES,KENTUCKY,2,2,1360,2
CHEBOYGAN,MICHIGAN,22,222,128830,222
CHECOTAH,OKLAHOMA,3,8,1984,8
CHEEKTOWAGA,NEW YORK,93,592,238131,592
CHEHALIS,WASHINGTON,44,436,132711,436
CHELAN,WASHINGTON,13,94,35674,94
CHELMSFORD,MASSACHUSETTS,70,320,24798,320
CHELSEA,MASSACHUSETTS,26,83,13895,83
CHELSEA,MICHIGAN,75,698,139729,698
CHELSEA,OKLAHOMA,2,2,512,2
CHENEY,WASHINGTON,6,27,3592,27
CHERAW,SOUTH CAROLINA,21,260,91493,260
CHEROKEE,ALABAMA,1,1,38,1
CHEROKEE,IOWA,23,234,94915,234
CHEROKEE,NORTH CAROLINA,36,227,64776,227
CHEROKEE,OKLAHOMA,3,13,7049,13
CHEROKEE VILLAGE,ARKANSAS,10,56,29437,56
CHERRY HILL,NEW JERSEY,515,5833,794220,5833
CHERRY TREE,PENNSYLVANIA,2,2,199,2
CHERRY VALLEY,ILLINOIS,2,2,1195,2
CHERRY VALLEY,NEW YORK,1,1,125,1
CHERRYVALE,KANSAS,1,3,6920,3
CHERRYVILLE,NORTH CAROLINA,3,12,4715,12
CHESANING,MICHIGAN,6,23,3441,23
CHESAPEAKE,VIRGINIA,381,10015,1658441,10015
CHESHIRE,CONNECTICUT,21,64,6973,64
CHESTER,CALIFORNIA,8,54,35037,54
CHESTER,ILLINOIS,14,150,97125,150
CHESTER,MARYLAND,8,22,1623,22
CHESTER,MONTANA,3,9,8655,9
CHESTER,NEW JERSEY,20,87,46435,87
CHESTER,NEW YORK,3,5,509,5
CHESTER,PENNSYLVANIA,77,1263,137683,1263
CHESTER,SOUTH CAROLINA,13,84,40756,84
CHESTER,VERMONT,1,1,51,1
CHESTER,VIRGINIA,31,97,10078,97
CHESTER,WEST VIRGINIA,1,2,197,2
CHESTER SPRINGS,PENNSYLVANIA,2,2,1022,2
CHESTERFIELD,INDIANA,1,2,1416,2
CHESTERFIELD,MICHIGAN,28,78,11737,78
CHESTERFIELD,MISSOURI,365,10594,1617766,10594
CHESTERFIELD,SOUTH CAROLINA,2,5,8904,5
CHESTERFIELD,VIRGINIA,5,6,380,6
CHESTERLAND,OHIO,6,23,3136,23
CHESTERTON,INDIANA,44,228,39974,228
CHESTERTOWN,MARYLAND,55,1268,396647,1268
CHESTERTOWN,NEW YORK,5,22,7367,22
CHESTNUT HILL,MASSACHUSETTS,50,95,8264,95
CHESWICK,PENNSYLVANIA,4,5,476,5
CHETEK,WISCONSIN,1,2,401,2
CHEVERLY,MARYLAND,30,304,71059,304
CHEVY CHASE,MARYLAND,143,1332,145768,1332
CHEWELAH,WASHINGTON,14,117,63831,117
CHEYENNE,OKLAHOMA,2,6,6232,6
CHEYENNE,WYOMING,210,5750,1035098,5750
CHICAGO,ILLINOIS,5693,161649,29221656,161649
CHICAGO HEIGHTS,ILLINOIS,29,326,76061,326
CHICAGO RIDGE,ILLINOIS,32,220,70907,220
CHICKAMAUGA,GEORGIA,1,1,53,1
CHICKASHA,OKLAHOMA,42,640,231330,640
CHICO,CALIFORNIA,329,15066,2118098,15066
CHICOPEE,MASSACHUSETTS,36,547,52507,547
CHICORA,PENNSYLVANIA,1,1,29,1
CHIEFLAND,FLORIDA,8,22,15770,22
CHILDERSBURG,ALABAMA,5,9,1643,9
CHILDRESS,TEXAS,18,227,152358,227
CHILHOWIE,VIRGINIA,4,15,35571,15
CHILLICOTHE,ILLINOIS,6,21,3235,21
CHILLICOTHE,MISSOURI,23,124,59633,124
CHILLICOTHE,OHIO,150,2271,530363,2271
CHILOQUIN,OREGON,3,7,1535,7
CHILTON,WISCONSIN,8,28,18021,28
CHINA GROVE,NORTH CAROLINA,3,7,5238,7
CHINCOTEAGUE,VIRGINIA,4,5,559,5
CHINLE,ARIZONA,25,76,24159,76
CHINO,CALIFORNIA,54,296,51697,296
CHINO HILLS,CALIFORNIA,5,10,360,10
CHINO VALLEY,ARIZONA,8,17,2273,17
CHINOOK,MONTANA,2,7,2243,7
CHIPLEY,FLORIDA,17,80,71112,80
CHIPPEWA FALLS,WISCONSIN,47,225,28895,225
CHIPPEWA FLS,WISCONSIN,3,4,454,4
CHISAGO CITY,MINNESOTA,5,26,2177,26
CHITTENANGO,NEW YORK,5,8,8382,8
CHOCTAW,MISSISSIPPI,6,17,9072,17
CHOTEAU,MONTANA,6,40,18670,40
CHOWCHILLA,CALIFORNIA,6,18,5239,18
CHRISMAN,ILLINOIS,1,1,43,1
CHRISTIANSBURG,VIRGINIA,101,1942,336512,1942
CHRISTIANSTED,VIRGIN ISLANDS,35,340,52874,340
CHRISTMAS VALLEY,OREGON,2,2,591,2
CHRISTOPHER,ILLINOIS,2,4,4631,4
CHUBBUCK,IDAHO,6,22,20674,22
CHULA VISTA,CALIFORNIA,249,6563,905102,6563
CHURCH HILL,TENNESSEE,3,7,2566,7
CHURCH POINT,LOUISIANA,7,40,34835,40
CHURCHVILLE,PENNSYLVANIA,1,1,654,1
CIALES,PUERTO RICO,2,2,2113,2
CICERO,ILLINOIS,12,27,10094,27
CICERO,NEW YORK,10,23,4946,23
CIDRA,PUERTO RICO,8,15,680,15
CINCINNATI,OHIO,2474,84634,11472082,84634
CINNAMINSON,NEW JERSEY,13,36,14756,36
CIRCLE,MONTANA,1,2,14322,2
CIRCLEVILLE,OHIO,59,851,226262,851
CISSNA PARK,ILLINOIS,1,1,700,1
CITRA,FLORIDA,1,1,162,1
CITRUS HEIGHTS,CALIFORNIA,13,22,10378,22
CITRUS SPRINGS,FLORIDA,4,10,28192,10
CITY OF INDUSTRY,CALIFORNIA,9,14,3560,14
CLACKAMAS,OREGON,78,91,11566,91
CLAIRFIELD,TENNESSEE,1,1,450,1
CLAIRTON,PENNSYLVANIA,47,419,122451,419
CLALLAM BAY,WASHINGTON,1,1,120,1
CLANTON,ALABAMA,24,214,68398,214
CLARE,MICHIGAN,35,229,98035,229
CLAREMONT,CALIFORNIA,18,51,7911,51
CLAREMONT,NEW HAMPSHIRE,32,361,97156,361
CLAREMORE,OKLAHOMA,63,595,92823,595
CLARENCE,IOWA,2,6,1447,6
CLARENCE,NEW YORK,3,3,194,3
CLARENDON,ARKANSAS,1,1,1339,1
CLARENDON,TEXAS,1,4,9615,4
CLARENDON HILLS,ILLINOIS,2,2,151,2
CLARINDA,IOWA,19,158,56541,158
CLARION,IOWA,20,160,56943,160
CLARION,PENNSYLVANIA,47,487,313642,487
CLARK,NEW JERSEY,33,133,24154,133
CLARK,SOUTH DAKOTA,3,10,1493,10
CLARKRANGE,TENNESSEE,2,2,44,2
CLARKS GREEN,PENNSYLVANIA,2,2,76,2
CLARKS SUMMIT,PENNSYLVANIA,34,236,36531,236
CLARKSBORO,NEW JERSEY,1,1,553,1
CLARKSBURG,PENNSYLVANIA,1,1,703,1
CLARKSBURG,WEST VIRGINIA,26,112,18102,112
CLARKSDALE,MISSISSIPPI,42,644,258050,644
CLARKSON,NEBRASKA,1,2,467,2
CLARKSTON,GEORGIA,2,2,101,2
CLARKSTON,MICHIGAN,62,427,55628,427
CLARKSTON,WASHINGTON,39,376,110884,376
CLARKSVILLE,ARKANSAS,26,320,63549,320
CLARKSVILLE,INDIANA,17,130,24575,130
CLARKSVILLE,MARYLAND,4,4,178,4
CLARKSVILLE,TENNESSEE,181,5205,1012005,5205
CLARKSVILLE,TEXAS,4,24,47955,24
CLARKTON,NORTH CAROLINA,3,4,2689,4
CLATSKANIE,OREGON,1,1,1404,1
CLAUDE,TEXAS,1,3,383,3
CLAWSON,MICHIGAN,12,24,5816,24
CLAXTON,GEORGIA,5,21,10510,21
CLAY,WEST VIRGINIA,5,15,1892,15
CLAY CENTER,KANSAS,18,261,202741,261
CLAY CITY,INDIANA,1,1,714,1
CLAY CITY,KENTUCKY,2,2,4178,2
CLAYMONT,DELAWARE,1,1,52,1
CLAYSBURG,PENNSYLVANIA,3,4,535,4
CLAYSVILLE,PENNSYLVANIA,5,6,606,6
CLAYTON,ALABAMA,2,7,7639,7
CLAYTON,CALIFORNIA,2,2,303,2
CLAYTON,DELAWARE,1,1,17,1
CLAYTON,GEORGIA,18,109,76378,109
CLAYTON,NEW MEXICO,4,9,3224,9
CLAYTON,NEW YORK,5,11,2403,11
CLAYTON,NORTH CAROLINA,29,233,33870,233
CLAYTON,OKLAHOMA,2,4,6886,4
CLE ELUM,WASHINGTON,5,13,5329,13
CLEAR LAKE,IOWA,10,32,8190,32
CLEAR LAKE,SOUTH DAKOTA,2,12,28259,12
CLEAR LAKE,WISCONSIN,2,2,1936,2
CLEARFIELD,PENNSYLVANIA,54,1146,465920,1146
CLEARLAKE,CALIFORNIA,25,292,141191,292
CLEARWATER,FLORIDA,581,28076,3775585,28076
CLEARWATER,KANSAS,3,5,1073,5
CLEARWATER,MINNESOTA,4,7,1303,7
CLEBURNE,TEXAS,52,735,101313,735
CLEMENTON,NEW JERSEY,3,3,3104,3
CLEMMONS,NORTH CAROLINA,8,11,3541,11
CLEMSON,SOUTH CAROLINA,18,57,39718,57
CLENDENIN,WEST VIRGINIA,2,4,1302,4
CLEONA,PENNSYLVANIA,4,5,231,5
CLERMONT,FLORIDA,119,1911,486195,1911
CLERMONT,GEORGIA,2,2,3581,2
CLEVELAND,GEORGIA,8,16,1684,16
CLEVELAND,MISSISSIPPI,34,570,265142,570
CLEVELAND,NEW YORK,1,1,71,1
CLEVELAND,OHIO,3325,101072,14882116,101072
CLEVELAND,OKLAHOMA,7,27,5385,27
CLEVELAND,TENNESSEE,165,4735,965712,4735
CLEVELAND,TEXAS,25,238,107627,238
CLEVELAND HEIGHTS,OHIO,12,50,8349,50
CLEWISTON,FLORIDA,14,82,30198,82
CLIFFSIDE PARK,NEW JERSEY,29,155,48882,155
CLIFTON,COLORADO,6,11,834,11
CLIFTON,ILLINOIS,4,7,7097,7
CLIFTON,NEW JERSEY,215,2943,543426,2943
CLIFTON,TENNESSEE,1,1,255,1
CLIFTON,TEXAS,10,75,64921,75
CLIFTON FORGE,VIRGINIA,2,4,2255,4
CLIFTON PARK,NEW YORK,39,103,13657,103
CLIFTON SPRINGS,NEW YORK,38,332,66564,332
CLIMAX,NORTH CAROLINA,1,1,99,1
CLINTON,ARKANSAS,8,44,46135,44
CLINTON,CONNECTICUT,6,15,620,15
CLINTON,ILLINOIS,12,41,24619,41
CLINTON,INDIANA,6,15,2826,15
CLINTON,IOWA,87,1403,601434,1403
CLINTON,KENTUCKY,1,2,856,2
CLINTON,LOUISIANA,9,12,4580,12
CLINTON,MARYLAND,129,2802,563217,2802
CLINTON,MASSACHUSETTS,12,41,16150,41
CLINTON,MICHIGAN,3,4,651,4
CLINTON,MISSISSIPPI,15,30,4953,30
CLINTON,MISSOURI,42,404,247594,404
CLINTON,NEW JERSEY,13,36,5061,36
CLINTON,NEW YORK,6,10,4176,10
CLINTON,NORTH CAROLINA,52,1111,359294,1111
CLINTON,OKLAHOMA,18,181,76901,181
CLINTON,SOUTH CAROLINA,33,352,100789,352
CLINTON,TENNESSEE,20,66,15694,66
CLINTON,UTAH,4,5,241,5
CLINTON,WASHINGTON,1,1,580,1
CLINTON,WISCONSIN,2,2,340,2
CLINTON TOWNSHIP,MICHIGAN,146,3149,574267,3149
CLINTON TWP,MICHIGAN,146,1539,210936,1539
CLINTONVILLE,WISCONSIN,5,22,7308,22
CLINTWOOD,VIRGINIA,6,22,34698,22
CLIO,MICHIGAN,5,8,1021,8
CLIO,SOUTH CAROLINA,1,1,10325,1
CLIVE,IOWA,68,467,115844,467
CLOQUET,MINNESOTA,41,260,31265,260
CLOSTER,NEW JERSEY,4,8,541,8
CLOUDCROFT,NEW MEXICO,1,2,988,2
CLOVERDALE,CALIFORNIA,3,3,577,3
CLOVERPORT,KENTUCKY,1,1,3055,1
CLOVIS,CALIFORNIA,105,709,51427,709
CLOVIS,NEW MEXICO,49,518,184072,518
CLYDE,NORTH CAROLINA,56,1663,578980,1663
CLYDE,OHIO,10,42,7056,42
CLYDE,TEXAS,1,1,42,1
CLYMER,PENNSYLVANIA,3,6,4690,6
COACHELLA,CALIFORNIA,3,5,3898,5
COAL GROVE,OHIO,4,7,1043,7
COAL TOWNSHIP,PENNSYLVANIA,11,53,35760,53
COAL VALLEY,ILLINOIS,4,6,1325,6
COALDALE,PENNSYLVANIA,6,15,11482,15
COALGATE,OKLAHOMA,3,12,20409,12
COALINGA,CALIFORNIA,3,7,7286,7
COALPORT,PENNSYLVANIA,1,1,182,1
COALVILLE,UTAH,5,13,2779,13
COAMO,PUERTO RICO,9,25,1582,25
COATESVILLE,PENNSYLVANIA,38,384,66529,384
COATS,NORTH CAROLINA,3,10,1559,10
COBLESKILL,NEW YORK,17,66,43518,66
COCHRAN,GEORGIA,4,11,10496,11
COCKEYSVILLE,MARYLAND,10,22,4574,22
COCOA,FLORIDA,6,12,2477,12
COCOA BEACH,FLORIDA,58,1203,232696,1203
COCONUT CREEK,FLORIDA,17,26,11017,26
COCONUT GROVE,FLORIDA,2,2,880,2
CODY,WYOMING,58,1052,250142,1052
COEBURN,VIRGINIA,2,2,1132,2
COEUR D ALENE,IDAHO,241,5397,897804,5397
COEUR D' ALENE,IDAHO,2,2,145,2
COEUR D'ALENE,IDAHO,5,5,239,5
COFFEYVILLE,KANSAS,30,249,84797,249
COHASSET,MASSACHUSETTS,8,21,1436,21
COHOCTON,NEW YORK,1,1,3900,1
COHOES,NEW YORK,14,23,3373,23
COKATO,MINNESOTA,3,7,740,7
COLBY,KANSAS,19,141,77119,141
COLBY,WISCONSIN,10,26,3330,26
COLCHESTER,CONNECTICUT,12,52,15004,52
COLCHESTER,VERMONT,45,164,20341,164
COLD SPRING,KENTUCKY,3,7,974,7
COLD SPRING,MINNESOTA,3,4,437,4
COLD SPRING,NEW YORK,3,3,391,3
COLDWATER,KANSAS,3,16,5994,16
COLDWATER,MICHIGAN,54,951,313713,951
COLDWATER,MISSISSIPPI,4,7,951,7
COLDWATER,OHIO,13,63,22323,63
COLEBROOK,NEW HAMPSHIRE,8,58,58585,58
COLEMAN,TEXAS,3,23,93344,23
COLFAX,CALIFORNIA,2,2,142,2
COLFAX,WASHINGTON,13,172,65188,172
COLLBRAN,COLORADO,2,2,1986,2
COLLEGE PARK,MARYLAND,5,9,1713,9
COLLEGE PLACE,WASHINGTON,1,1,481,1
COLLEGE POINT,NEW YORK,5,7,953,7
COLLEGE STATION,TEXAS,144,1730,263758,1730
COLLEGEVILLE,PENNSYLVANIA,6,7,465,7
COLLETTSVILLE,NORTH CAROLINA,1,1,167,1
COLLEYVILLE,TEXAS,14,24,20287,24
COLLIERVILLE,TENNESSEE,23,94,14354,94
COLLINGSWOOD,NEW JERSEY,7,21,3516,21
COLLINS,MISSISSIPPI,10,58,27558,58
COLLINSVILLE,ALABAMA,2,3,336,3
COLLINSVILLE,ILLINOIS,4,7,1017,7
COLLINSVILLE,MISSISSIPPI,1,1,30,1
COLLINSVILLE,OKLAHOMA,4,5,381,5
COLLINWOOD,TENNESSEE,2,2,1334,2
COLMAR MANOR,MARYLAND,2,2,124,2
COLOMA,MICHIGAN,5,8,1336,8
COLONIA,NEW JERSEY,2,2,426,2
COLONIAL BEACH,VIRGINIA,1,2,5550,2
COLONIAL HEIGHTS,VIRGINIA,57,563,81646,563
COLORADO CITY,TEXAS,4,29,41407,29
COLORADO SPGS,COLORADO,4,4,187,4
COLORADO SPRINGS,COLORADO,1059,35284,5193992,35284
COLQUITT,GEORGIA,10,66,30881,66
COLSTRIP,MONTANA,3,4,783,4
