City,State,Provider_number,Distinct_Referral_Pairs,Referral_Volume,Total_Num_Referral_Triples_sum
ALLENWOOD,PENNSYLVANIA,2,5,5744,5
ALLIANCE,NEBRASKA,15,80,48288,80
ALLIANCE,OHIO,77,1507,442628,1507
ALLISON,IOWA,1,3,1516,3
ALLISON PARK,PENNSYLVANIA,23,88,8741,88
ALLSTON,MASSACHUSETTS,4,6,670,6
ALMA,ARKANSAS,6,11,3469,11
ALMA,GEORGIA,5,37,72181,37
ALMA,MICHIGAN,58,1104,274525,1104
ALMA,NEBRASKA,6,26,28507,26
ALOHA,OREGON,2,2,64,2
ALPENA,MICHIGAN,96,3426,908160,3426
ALPHARETTA,GEORGIA,56,207,45275,207
ALPINE,CALIFORNIA,6,11,4256,11
ALPINE,TEXAS,12,72,48276,72
ALSEA,OREGON,1,1,285,1
ALSIP,ILLINOIS,4,7,851,7
ALTAMONT,ILLINOIS,5,22,42245,22
ALTAMONT,NEW YORK,4,6,838,6
ALTAMONTE SPRINGS,FLORIDA,118,1958,437398,1958
ALTAVISTA,VIRGINIA,4,12,1832,12
ALTHEIMER,ARKANSAS,1,1,222,1
ALTON,ILLINOIS,121,3676,857383,3676
ALTON,MISSOURI,2,4,3899,4
ALTON,TEXAS,1,1,432,1
ALTOONA,IOWA,9,39,5143,39
ALTOONA,PENNSYLVANIA,311,10076,1743532,10076
ALTOONA,WISCONSIN,17,51,10337,51
ALTURAS,CALIFORNIA,3,16,29612,16
ALTUS,OKLAHOMA,41,742,341316,742
ALUM BANK,PENNSYLVANIA,1,1,26,1
ALUM CREEK,WEST VIRGINIA,1,1,188,1
ALVA,OKLAHOMA,7,16,15635,16
ALVIN,TEXAS,13,50,6876,50
AMAGANSETT,NEW YORK,4,6,594,6
AMANA,IOWA,4,14,2115,14
AMARILLO,TEXAS,509,32401,4636973,32401
AMBLER,PENNSYLVANIA,11,35,1801,35
AMBOY,ILLINOIS,2,2,487,2
AMBRIDGE,PENNSYLVANIA,9,18,1835,18
AMELIA,OHIO,1,1,61,1
AMELIA,VIRGINIA,1,1,77,1
AMELIA COURT HOUSE,VIRGINIA,1,1,181,1
AMENIA,NEW YORK,6,19,12406,19
AMERICAN FALLS,IDAHO,6,33,14063,33
AMERICAN FORK,UTAH,75,686,121386,686
AMERICUS,GEORGIA,41,535,109134,535
AMERY,WISCONSIN,24,205,92372,205
AMES,IOWA,166,6201,1114255,6201
AMESBURY,MASSACHUSETTS,9,19,2352,19
AMHERST,MASSACHUSETTS,29,144,15739,144
AMHERST,NEW HAMPSHIRE,9,17,2709,17
AMHERST,NEW YORK,156,748,96094,748
AMHERST,OHIO,20,58,10891,58
AMITE,LOUISIANA,11,35,12618,35
AMITYVILLE,NEW YORK,53,599,157599,599
AMORY,MISSISSIPPI,32,416,181316,416
AMSTERDAM,NEW YORK,93,2142,752620,2142
AMSTON,CONNECTICUT,2,2,81,2
ANACONDA,MONTANA,23,169,47909,169
ANACORTES,WASHINGTON,68,862,277578,862
ANADARKO,OKLAHOMA,6,31,6281,31
ANAHEIM,CALIFORNIA,325,7162,1409182,7162
ANAHEIM HILLS,CALIFORNIA,2,3,171,3
ANAHUAC,TEXAS,4,24,10542,24
ANAMOSA,IOWA,10,77,51236,77
ANASCO,PUERTO RICO,1,1,46,1
ANCHORAGE,ALASKA,815,15288,2058069,15288
ANDALUSIA,ALABAMA,31,518,194690,518
ANDERSON,CALIFORNIA,8,20,5937,20
ANDERSON,INDIANA,175,5917,1317781,5917
ANDERSON,MISSOURI,2,3,758,3
ANDERSON,SOUTH CAROLINA,299,16319,2864913,16319
ANDOVER,KANSAS,20,75,16390,75
ANDOVER,MASSACHUSETTS,29,93,9830,93
ANDOVER,MINNESOTA,12,23,2582,23
ANDOVER,NEW JERSEY,2,2,163,2
ANDOVER,OHIO,6,24,10220,24
ANDREWS,NORTH CAROLINA,5,13,3859,13
ANDREWS,SOUTH CAROLINA,5,13,6319,13
ANDREWS,TEXAS,13,61,12490,61
ANGELS CAMP,CALIFORNIA,10,52,10275,52
ANGIER,NORTH CAROLINA,5,5,2490,5
ANGLETON,TEXAS,24,286,95211,286
ANGOLA,INDIANA,22,117,45224,117
ANKENY,IOWA,51,243,28903,243
ANN ARBOR,MASSACHUSETTS,1,31,3840,31
ANN ARBOR,MICHIGAN,1629,32875,3746153,32875
ANNA,ILLINOIS,16,93,50421,93
ANNA,OHIO,2,2,314,2
ANNANDALE,MINNESOTA,3,9,2686,9
ANNANDALE,NEW JERSEY,10,77,20492,77
ANNANDALE,VIRGINIA,61,368,47226,368
ANNAPOLIS,MARYLAND,473,22198,2778640,22198
ANNAWAN,ILLINOIS,3,5,563,5
ANNISTON,ALABAMA,171,7608,2380152,7608
ANNVILLE,PENNSYLVANIA,7,18,1934,18
ANOKA,MINNESOTA,7,19,1120,19
ANSON,TEXAS,2,8,6134,8
ANSONIA,CONNECTICUT,21,93,7894,93
ANSTED,WEST VIRGINIA,2,4,1177,4
ANTHEM,ARIZONA,5,11,616,11
ANTHON,IOWA,2,2,2074,2
ANTHONY,KANSAS,3,14,20219,14
ANTHONY,NEW MEXICO,1,1,246,1
ANTIGO,WISCONSIN,32,244,95665,244
ANTIOCH,CALIFORNIA,92,1054,249654,1054
ANTIOCH,ILLINOIS,7,29,20185,29
ANTIOCH,TENNESSEE,7,30,21927,30
ANTLERS,OKLAHOMA,4,42,26242,42
ANTONITO,COLORADO,1,2,777,2
ANTWERP,OHIO,4,6,4154,6
APACHE,OKLAHOMA,1,1,480,1
APACHE JUNCTION,ARIZONA,10,25,4291,25
APALACHICOLA,FLORIDA,7,34,17746,34
APALACHIN,NEW YORK,1,1,120,1
APEX,NORTH CAROLINA,7,7,3041,7
APOLLO,PENNSYLVANIA,3,3,399,3
